Jul 06 22:56:28 2016 | This game is *** terrifying
Jul 06 22:56:28 2016 | wix1 wix2
Jul 06 22:56:29 2016 | goatse floor WutFace
Jul 06 22:56:30 2016 | ALEX 19 ISNT SO GREAT? ARE YOU KIDDING ME?
Jul 06 22:56:30 2016 | WutFace
Jul 06 22:56:30 2016 | BEAR-ly SoBayed
Jul 06 22:56:32 2016 | schedule
Jul 06 22:56:32 2016 | teh urn
Jul 06 22:56:32 2016 | i rarely made it past the first level as a kid
Jul 06 22:56:32 2016 | This run is the worst
Jul 06 22:56:33 2016 | its barely
Jul 06 22:56:33 2016 | shofuDisney shofuDisney shofuDisney shofuDisney
Jul 06 22:56:34 2016 | THE WOODS Kreygasm
Jul 06 22:56:34 2016 | he keeps getting hit.. wtf, this is not good
Jul 06 22:56:34 2016 | OSkomodo,
Jul 06 22:56:35 2016 | WutFace
Jul 06 22:56:35 2016 | PedoBear ly
Jul 06 22:56:35 2016 | FIRST OF ALL
Jul 06 22:56:35 2016 | Snake Snake Ooooh its a Snake
Jul 06 22:56:35 2016 | WHO PLAYS THESE RETARDED GAMES FOR THOUSANDS OF HOURS>???
Jul 06 22:56:35 2016 | wtf WutFace
Jul 06 22:56:36 2016 | tri1 tri2 tri3 tri4
Jul 06 22:56:36 2016 | thisis snek
Jul 06 22:56:36 2016 | BEARLY
Jul 06 22:56:36 2016 | SEIZURE
Jul 06 22:56:36 2016 | SNEX
Jul 06 22:56:36 2016 | wot
Jul 06 22:56:36 2016 | WutFace
Jul 06 22:56:36 2016 | SNEK WutFace
Jul 06 22:56:36 2016 | WutFace
Jul 06 22:56:37 2016 | @Klmattis F U
Jul 06 22:56:37 2016 | !next
Jul 06 22:56:37 2016 | @KingEddi Next Run is [ Hook ] Run by [ LivelyRaccoon ] Category is [ Any% ]
Jul 06 22:56:37 2016 | CoolCat SHINE GET CoolCat
Jul 06 22:56:37 2016 | Mau5
Jul 06 22:56:38 2016 | what a game ResidentSleeper
Jul 06 22:56:38 2016 | Bear MingLee
Jul 06 22:56:38 2016 | WutFace
Jul 06 22:56:38 2016 | goatse floor MingLee
Jul 06 22:56:38 2016 | BARE MingLee
Jul 06 22:56:38 2016 | MingLee BEAR LEE MingLee
Jul 06 22:56:39 2016 | What is this? A marriage?
Jul 06 22:56:39 2016 | WutFace
Jul 06 22:56:39 2016 | SNEK WutFace
Jul 06 22:56:39 2016 | Kreygasm MINNIE IS SO HOT Kreygasm
Jul 06 22:56:39 2016 | Bearly EleGiggle
Jul 06 22:56:40 2016 | WHAT'S THE DEAL WITH THESE WALL GRENADES
Jul 06 22:56:40 2016 | 113K views PogChamp
Jul 06 22:56:41 2016 | kimerat0, do the math u fking cancer
Jul 06 22:56:41 2016 | @kimerat0 older than you kiddo
Jul 06 22:56:41 2016 | its BEARly Kappa
Jul 06 22:56:41 2016 | Mau5 Mau5 Mau5 Mau5 Mau5
Jul 06 22:56:41 2016 | :tf:
Jul 06 22:56:42 2016 | Snake WutFace
Jul 06 22:56:42 2016 | BEAR LEE MingLee
Jul 06 22:56:42 2016 | WutFace
Jul 06 22:56:42 2016 | TwitchRPG WutFace DoritosChip
Jul 06 22:56:42 2016 | PeoplesChamp
Jul 06 22:56:42 2016 | WutFace
Jul 06 22:56:42 2016 | WutFace
Jul 06 22:56:42 2016 | THAT GRIN
Jul 06 22:56:43 2016 | SMOrc ME ORC SMOrc ME SPAM SMOrc NO MOD SMOrc NO BAN SMOrc
Jul 06 22:56:44 2016 | IS THIS NEW DARK SOULS? PogChamp
Jul 06 22:56:44 2016 | MingLee BEAR LEE MingLee
Jul 06 22:56:44 2016 | WutFace
Jul 06 22:56:44 2016 | VoHiYo
Jul 06 22:56:44 2016 | BEARLY!
Jul 06 22:56:44 2016 | TwitchRPG Keepo TwitchRPG Kappa Protect them
Jul 06 22:56:45 2016 | PedoBear TwitchRPG :tf:
Jul 06 22:56:45 2016 | this game so balance Kappa
Jul 06 22:56:45 2016 | WutFace
Jul 06 22:56:46 2016 | 2012 The Game
Jul 06 22:56:46 2016 | 29 year old game WutFace
Jul 06 22:56:46 2016 | !next
Jul 06 22:56:46 2016 | GAMEGRUMPS BOYS
Jul 06 22:56:47 2016 | So what words are banned in chat?
Jul 06 22:56:47 2016 | THAT ISNT ACCORDING TO PLATE TECTONICS
Jul 06 22:56:47 2016 | tweedledumb
Jul 06 22:56:47 2016 | minnie!
Jul 06 22:56:47 2016 | Mau5
Jul 06 22:56:47 2016 | I PREFER THE MAGIC
Jul 06 22:56:49 2016 | R)
Jul 06 22:56:49 2016 | R)
Jul 06 22:56:50 2016 | TwitchRPG OpieOP
Jul 06 22:56:50 2016 | SATAN WutFace
Jul 06 22:56:51 2016 | Bitchh better run Faster! why does Mickey have to keep hollering at a hoe?? DansGame
Jul 06 22:56:51 2016 | MINNIE!
Jul 06 22:56:52 2016 | MINNIE!!!!!
Jul 06 22:56:52 2016 | PIRATE SHIP LOL
Jul 06 22:56:52 2016 | This level design is so good!
Jul 06 22:56:52 2016 | Bear MingLee Kappa
Jul 06 22:56:52 2016 | 4Head
Jul 06 22:56:53 2016 | DONATE FOR DOOM FGTS
Jul 06 22:56:53 2016 | bearly
Jul 06 22:56:54 2016 | @TataJooma all of them
Jul 06 22:56:54 2016 | MEMEBOYS
Jul 06 22:56:54 2016 | PogChamp
Jul 06 22:56:55 2016 | PURITY RING HA HA PURITY RING HA HA PURITY RING HA HA
Jul 06 22:56:55 2016 | Tweed let lop
Jul 06 22:56:56 2016 | YaRR
Jul 06 22:56:56 2016 | RIP COD
Jul 06 22:56:57 2016 | TwitchRPG R) BudStar
Jul 06 22:56:57 2016 | *** this game.
Jul 06 22:56:57 2016 | SPOILERS
Jul 06 22:56:58 2016 | LUL
Jul 06 22:56:58 2016 | TwitchRPG FishMoley
Jul 06 22:56:59 2016 | buncha grown *** men playing mickey mouse ROFL
Jul 06 22:56:59 2016 | STOP PLAYN KIDDIES GAMES
Jul 06 22:56:59 2016 | Mau5
Jul 06 22:56:59 2016 | BARE MingLee
Jul 06 22:57:00 2016 | R) R) R)
Jul 06 22:57:00 2016 | P)
Jul 06 22:57:00 2016 | Why this number 1?
Jul 06 22:57:00 2016 | !next
Jul 06 22:57:01 2016 | :P
Jul 06 22:57:01 2016 | Ring shooting snakes? Come on now, what a bunch of caca dookie! WutFace
Jul 06 22:57:01 2016 | TwitchRPG R)
Jul 06 22:57:01 2016 | S P O I L E R S
Jul 06 22:57:02 2016 | MingLee Bear Lee MingLee
Jul 06 22:57:02 2016 | LET'SA GO!
Jul 06 22:57:02 2016 | R)
Jul 06 22:57:02 2016 | RUFIOOOOOOOOO
Jul 06 22:57:03 2016 | Mau5
Jul 06 22:57:03 2016 | this is what I call "a spped run"
Jul 06 22:57:03 2016 | This game looks *** brutal
Jul 06 22:57:04 2016 | MINNIE U FKIN BETCH CMERE
Jul 06 22:57:04 2016 | TwitchRPG cmonBruh BudStar
Jul 06 22:57:05 2016 | TwitchRPG Mau5
Jul 06 22:57:05 2016 | Sooo many memories ! this game dude
Jul 06 22:57:06 2016 | R)
Jul 06 22:57:06 2016 | (puke) WITWIX (puke) RAID (puke)
Jul 06 22:57:08 2016 | VIETNAM
Jul 06 22:57:08 2016 | THIS GAME IS A BUNCH OF POOPY *** ***
Jul 06 22:57:10 2016 | Mau5 Mau5 Mau5 Mau5
Jul 06 22:57:10 2016 | This game's a bunch of poopy *** farts. Kappa
Jul 06 22:57:11 2016 | Come on Game Developers
Jul 06 22:57:11 2016 | TwitchRPG Mau5
Jul 06 22:57:11 2016 | TwitchRPG WutFace
Jul 06 22:57:11 2016 | RU FI OOO
Jul 06 22:57:11 2016 | wow the new kingdom hearts game looks neat
Jul 06 22:57:12 2016 | This is painful to watch
Jul 06 22:57:12 2016 | Every disney NES game takes place at Disneyland
Jul 06 22:57:12 2016 | c-cuckoooo
Jul 06 22:57:13 2016 | R) TwitchRPG
Jul 06 22:57:13 2016 | WEEB PLAYS JAPAN VERSION
Jul 06 22:57:13 2016 | @kimerat0, the game is from 1987
Jul 06 22:57:14 2016 | Kreygasm MINNIE IS SO HOT Kreygasm
Jul 06 22:57:14 2016 | USA CASUALS DansGame
Jul 06 22:57:15 2016 | tri1
Jul 06 22:57:15 2016 | Ico prequal? NotLikeThis
Jul 06 22:57:16 2016 | What many remember about her?) ow.ly/Z8QM301ZOOo
Jul 06 22:57:16 2016 | TwitchRPG DansGame
Jul 06 22:57:17 2016 | PETE
Jul 06 22:57:17 2016 | MINNIE!
Jul 06 22:57:17 2016 | DUUUUUUUUUUUDE?
Jul 06 22:57:17 2016 | I need Dans laugh through this run.
Jul 06 22:57:17 2016 | this was one of the first games i ever played.
Jul 06 22:57:18 2016 | best puns I've heard, bear none
Jul 06 22:57:18 2016 | WutFace
Jul 06 22:57:19 2016 | KappaPride KappaPride KappaPride KappaPride KappaPride
Jul 06 22:57:19 2016 | TwitchRPG
Jul 06 22:57:20 2016 | BANNED LUL
Jul 06 22:57:20 2016 | TwitchRPG GabeN BudStar
Jul 06 22:57:21 2016 | triGiggle
Jul 06 22:57:21 2016 | PEET BOOS
Jul 06 22:57:21 2016 | Anthony Burch is a Cuk
Jul 06 22:57:21 2016 | haHAA
Jul 06 22:57:21 2016 | NO ONE PLAYED THIS *** GAME STOP SPEEDRUNNING ***
Jul 06 22:57:21 2016 | VAC
Jul 06 22:57:22 2016 | AGDQ=AWESOME SGDQ=summer
Jul 06 22:57:22 2016 | is this kingdom hearts? Kappa
Jul 06 22:57:22 2016 | VAC
Jul 06 22:57:22 2016 | THIS GAME SUCKS BETTER THAN A D*** FARTING ON A BAGINA
Jul 06 22:57:23 2016 | LOL
Jul 06 22:57:23 2016 | Now I gotta re watch that GG run
Jul 06 22:57:23 2016 | THAT'S CHEATING!!
Jul 06 22:57:24 2016 | WutFace
Jul 06 22:57:24 2016 | VAC
Jul 06 22:57:24 2016 | LOL
Jul 06 22:57:24 2016 | VAC
Jul 06 22:57:25 2016 | TwitchRPG Mau5
Jul 06 22:57:25 2016 | ariW
Jul 06 22:57:25 2016 | VAC
Jul 06 22:57:25 2016 | What the heck is up with this game? kAPPA
Jul 06 22:57:25 2016 | LUL
Jul 06 22:57:25 2016 | VAC
Jul 06 22:57:25 2016 | LOL
Jul 06 22:57:25 2016 | VAC
Jul 06 22:57:25 2016 | LUL
Jul 06 22:57:26 2016 | LUL
Jul 06 22:57:26 2016 | LMFAO
Jul 06 22:57:26 2016 | PogChamp PogChamp PogChamp PogChamp PogChamp
Jul 06 22:57:26 2016 | Mau5
Jul 06 22:57:26 2016 | GG
Jul 06 22:57:26 2016 | LUL
Jul 06 22:57:26 2016 | 4Head
Jul 06 22:57:26 2016 | VAC
Jul 06 22:57:26 2016 | TYPE 1 IF YOU *** TO MINNIE SPRITE
Jul 06 22:57:26 2016 | Stephen fry as Cheshire
Jul 06 22:57:27 2016 | LUL
Jul 06 22:57:27 2016 | shofuDisney shofuDisney shofuDisney
Jul 06 22:57:27 2016 | finally getting to see past stage 2 PogChamp
Jul 06 22:57:27 2016 | This game is pretty nifty danLewd
Jul 06 22:57:27 2016 | TwitchRPG BiersDerp
Jul 06 22:57:27 2016 | VAC
Jul 06 22:57:27 2016 | :D
Jul 06 22:57:28 2016 | Senitel330~
Jul 06 22:57:28 2016 | LUL
Jul 06 22:57:28 2016 | lul
Jul 06 22:57:28 2016 | LUL
Jul 06 22:57:28 2016 | LUL
Jul 06 22:57:28 2016 | VAC
Jul 06 22:57:28 2016 | LUL
Jul 06 22:57:28 2016 | Minnie OP
Jul 06 22:57:28 2016 | VAC
Jul 06 22:57:28 2016 | TriHard PETE
Jul 06 22:57:28 2016 | Hahahaa
Jul 06 22:57:28 2016 | vac
Jul 06 22:57:28 2016 | lolol
Jul 06 22:57:28 2016 | LUL
Jul 06 22:57:28 2016 | LUL
Jul 06 22:57:28 2016 | LUL
Jul 06 22:57:28 2016 | PogChamp
Jul 06 22:57:28 2016 | VAC
Jul 06 22:57:28 2016 | VAC
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:29 2016 | LUL
Jul 06 22:57:29 2016 | It's GENJI LUL
Jul 06 22:57:29 2016 | TwitchRPG R)
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:29 2016 | LUUU
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:29 2016 | STRATS
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:29 2016 | TwitchRPG VoHiYo
Jul 06 22:57:29 2016 | COVERED IN POOP
Jul 06 22:57:29 2016 | \\ LUL
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:29 2016 | VAC
Jul 06 22:57:31 2016 | Nerf Minnie
Jul 06 22:57:31 2016 | Mau5
Jul 06 22:57:31 2016 | VAC
Jul 06 22:57:31 2016 | VAC
Jul 06 22:57:31 2016 | LUL
Jul 06 22:57:31 2016 | Savage minnie PogChamp
Jul 06 22:57:31 2016 | VAC
Jul 06 22:57:31 2016 | Kappa )/
Jul 06 22:57:31 2016 | Kappa //
Jul 06 22:57:31 2016 | Well gg
Jul 06 22:57:31 2016 | VAC
Jul 06 22:57:31 2016 | good guy minnie
Jul 06 22:57:31 2016 | VAC
Jul 06 22:57:32 2016 | minnie=ok
Jul 06 22:57:32 2016 | TwitchRPG Kippa
Jul 06 22:57:32 2016 | VAC
Jul 06 22:57:32 2016 | VAC
Jul 06 22:57:32 2016 | LUL
Jul 06 22:57:32 2016 | LUL
Jul 06 22:57:32 2016 | vac
Jul 06 22:57:32 2016 | VAC
Jul 06 22:57:32 2016 | DO IT WOMAN
Jul 06 22:57:32 2016 | LUL
Jul 06 22:57:32 2016 | wac
Jul 06 22:57:33 2016 | Mau5
Jul 06 22:57:33 2016 | VAC
Jul 06 22:57:33 2016 | TwitchRPG WutFace BudStar Fight me Krippo
Jul 06 22:57:33 2016 | MINNIE TO THE FUN HOUSE
Jul 06 22:57:33 2016 | VAC
Jul 06 22:57:33 2016 | gay game
Jul 06 22:57:33 2016 | LUL
Jul 06 22:57:33 2016 | Minnie OP
Jul 06 22:57:33 2016 | CURRENT YEAR
Jul 06 22:57:33 2016 | Developers please MingLee
Jul 06 22:57:34 2016 | VAC
Jul 06 22:57:34 2016 | VAC
Jul 06 22:57:34 2016 | MINNIE
Jul 06 22:57:34 2016 | VAC
Jul 06 22:57:34 2016 | Hahaha
Jul 06 22:57:34 2016 | WutFace
Jul 06 22:57:34 2016 | she has her uses
Jul 06 22:57:34 2016 | FeelsBadMan minnie bullied
Jul 06 22:57:34 2016 | :D
Jul 06 22:57:35 2016 | 7
Jul 06 22:57:35 2016 | VAC
Jul 06 22:57:35 2016 | PETA
Jul 06 22:57:35 2016 | THAT ISNT ACCORDING TO PLATE TECTONICS
Jul 06 22:57:35 2016 | H3h3h3h3h3h3
Jul 06 22:57:35 2016 | VAC
Jul 06 22:57:35 2016 | VAC
Jul 06 22:57:35 2016 | no hitbox FailFish
Jul 06 22:57:35 2016 | CHECKMATO DA
Jul 06 22:57:35 2016 | unrealistic, bears sleep in winter
Jul 06 22:57:35 2016 | She just killed Pete NotLikeThis
Jul 06 22:57:35 2016 | EZ
Jul 06 22:57:36 2016 | Bush did 9/11
Jul 06 22:57:36 2016 | VAC
Jul 06 22:57:36 2016 | AVAAAAAAC
Jul 06 22:57:37 2016 | vac
Jul 06 22:57:37 2016 | KURWY
Jul 06 22:57:37 2016 | TwitchRPG R)
